pair_id,left_id,right_id,left_source,right_source,names_left,names_right,categories_left,categories_right,confidence_left,confidence_right,websites_left,websites_right,socials_left,socials_right,emails_left,emails_right,phones_left,phones_right,brand_left,brand_right,addresses_left,addresses_right
10,1125899912129300,08f48d621e8c9db103fd54168e9fe11c,"[{""dataset"":""Microsoft"",""record_id"":""1125899912129300"",""update_time"":""2023-04-11T08:38:09.727"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""117203175006974"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949960229636"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912129301"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912129300"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912118611"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Pettigrew & Associates""}","{""primary"":""Pettigrew and Associates""}","{""primary"":""civil_engineers"",""alternate"":[""land_surveying"",""engineering_services"",""agricultural_engineering_service"",""structural_engineer"",""real_estate_service"",""b2b_agriculture_and_food"",""business_to_business""]}","{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}",0.77,0.9918379237288135,"[""""]","[""http://www.pettigrew.us/""]",,"[""https://www.facebook.com/117203175006974""]",,,"[""5753939827""]","[""+15753939827""]","{""names"":{}}",,"[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""region"":""NM"",""country"":""US"",""postcode"":""88240""}]","[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""postcode"":""88240-9309"",""region"":""NM"",""country"":""US""}]"
11,1407374890864242,08f44e8346794333033a01eb53999680,"[{""dataset"":""Microsoft"",""record_id"":""1407374890864242"",""update_time"":""2024-12-30T23:08:50.337"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""111067831985657"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374890864242"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Jeremiah's Italian Ice""}","{""primary"":""Jeremiah's Italian Ice""}","{""primary"":""ice_cream_and_frozen_yoghurt"",""alternate"":[""restaurant""]}","{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}",0.77,0.9962614185921548,"[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]",,"[""https://www.facebook.com/111067831985657""]",,,"[""2057470443""]","[""+12057470443""]","{""names"":{}}","{""names"":{""primary"":""Jeremiah's Italian Ice""}}","[{""freeform"":""790 Montgomery Highway Ste 106"",""locality"":""vestavia hills"",""region"":""AL"",""country"":""US"",""postcode"":""35216""}]","[{""freeform"":""790 Montgomery Hwy"",""locality"":""Vestavia Hills"",""postcode"":""35216-1872"",""region"":""AL"",""country"":""US""}]"
12,562949958711311,1407374887100674,"[{""dataset"":""Microsoft"",""record_id"":""562949958711311"",""update_time"":""2019-07-07T13:30:55.19"",""confidence"":0.77}]","[{""dataset"":""Microsoft"",""record_id"":""1407374887100674"",""update_time"":""2024-12-26T07:33:14.517"",""confidence"":0.77}]","{""primary"":""Murphy Express""}","{""primary"":""Murphy USA""}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}",0.77,0.77,"[""http://www.murphyusa.com/""]","[""http://www.murphyusa.com/""]",,,,,"[""8033560950""]","[""8033560950""]","{""names"":{}}","{""names"":{}}","[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]","[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]"
13,562949961699505,08f2ab2c4b89449a03e88d9391424fd1,"[{""dataset"":""Microsoft"",""record_id"":""562949961699505"",""update_time"":""2022-01-16T10:03:49.1"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""437045240458850"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949961699505"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Certa Opportune Inc.""}","{""primary"":""Certa Opportune Inc.""}","{""primary"":""sign_making""}","{""primary"":""sign_making"",""alternate"":[""graphic_designer"",""screen_printing_t_shirt_printing""]}",0.77,0.9696941176470588,"[""https://certaopportune.com/""]","[""http://www.certaopportune.ca/""]",,"[""https://www.facebook.com/437045240458850""]",,,"[""4164094360""]","[""+14375517377""]","{""names"":{}}",,"[{""freeform"":""2556 Central Avenue, Unit B"",""locality"":""Windsor"",""region"":""ON"",""country"":""CA"",""postcode"":""N8W 4J5""}]","[{""freeform"":""2556 Central Ave Unit B"",""postcode"":""N8W 4J5"",""country"":""CA""}]"
14,1970324842430502,1970324842101934,"[{""dataset"":""Microsoft"",""record_id"":""1970324842430502"",""update_time"":""2024-12-27T20:08:53.403"",""confidence"":0.77}]","[{""dataset"":""Microsoft"",""record_id"":""1970324842101934"",""update_time"":""2024-12-27T20:08:53.403"",""confidence"":0.77}]","{""primary"":""DTLR""}","{""primary"":""DTLR""}","{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}","{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}",0.77,0.77,"[""""]","[""https://locations.dtlr.com/va/richmond/southside-plaza.html""]",,,,,"[""8045480798""]","[""8042327880""]","{""names"":{}}","{""names"":{}}","[{""freeform"":""4740 S E Southside Plaza"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]","[{""freeform"":""4640 N Southside Plaza St"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]"
15,562949957672973,08f281334dcd60a303d3ca8e7eff2b77,"[{""dataset"":""Microsoft"",""record_id"":""562949957672973"",""update_time"":""2024-11-13T17:05:31.64"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""369034676623921"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949957672973"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""2251799813895227"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849860471356"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Burger King""}","{""primary"":""Burger King""}","{""primary"":""beverage_supplier"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""business_equipment_and_supply"",""food_and_beverage_consultant"",""restaurant"",""business_to_business""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}",0.77,0.9962614185921548,"[""https://burgerking.com/store-locator/store/restaurant_5319""]","[""https://burgerking.com/store-locator/store/restaurant_5319""]",,"[""https://www.facebook.com/369034676623921""]",,,"[""5418853166""]","[""+15418853166""]","{""names"":{}}","{""names"":{""primary"":""Burger King""}}","[{""freeform"":""2561 Campus Dr"",""locality"":""Klamath Falls"",""region"":""OR"",""country"":""US"",""postcode"":""97601""}]","[{""freeform"":""2561 Campus Dr"",""locality"":""Klamath Falls"",""postcode"":""97601-1102"",""region"":""OR"",""country"":""US""}]"
16,1125899912578717,08f1f8ed8172e8b203a9f0a42e5a8224,"[{""dataset"":""Microsoft"",""record_id"":""1125899912578717"",""update_time"":""2024-12-11T18:02:03.947"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""msft"",""record_id"":""562949962658418"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866242636"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866242635"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866242632"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912808537"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912578717"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""148769631859431"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""bellaiuto coiffure""}","{""primary"":""bellaiuto coiffure""}","{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}","{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}",0.77,0.8606545961002786,"[""http://bellaiuto.ch/""]","[""http://www.bellaiuto.ch/""]",,,,,"[""0448200169""]","[""0448200169""]","{""names"":{}}",,"[{""freeform"":""Wangenstrasse 5"",""locality"":""Dübendorf"",""region"":""Zürich"",""country"":""CH"",""postcode"":""8600""}]","[{""freeform"":""Wangenstrasse 5"",""locality"":""Dübendorf"",""postcode"":""8600"",""region"":""Zurich"",""country"":""CH""}]"
17,1407374891438357,08f44e554128900503a7df0284a7d549,"[{""dataset"":""Microsoft"",""record_id"":""1407374891438357"",""update_time"":""2024-12-30T10:51:08.687"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""106821481775458"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374891438357"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374888653508"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912951646"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""LuLu's Bar & Resto""}","{""primary"":""LuLu's Bar & Resto""}","{""primary"":""pub"",""alternate"":[""bar"",""restaurant""]}","{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}",0.77,0.9792361111111111,"[""http://luluspcb.com/""]","[""http://luluspcb.com""]",,"[""https://www.facebook.com/106821481775458""]",,,"[""8502004040""]","[""+18502004040""]","{""names"":{}}",,"[{""freeform"":""9902 S Thomas Dr"",""locality"":""Panama City Beach"",""region"":""FL"",""country"":""US"",""postcode"":""32408""}]","[{""freeform"":""9902 S Thomas Dr"",""locality"":""Panama City Beach"",""postcode"":""32408-1201"",""region"":""FL"",""country"":""US""}]"
18,562949957705495,1125899912492752,"[{""dataset"":""Microsoft"",""record_id"":""562949957705495"",""update_time"":""2024-09-27T06:31:35.677"",""confidence"":0.77}]","[{""dataset"":""Microsoft"",""record_id"":""1125899912492752"",""update_time"":""2024-11-17T08:17:49.68"",""confidence"":0.77}]","{""primary"":""Fastest Labs Pittsburgh""}","{""primary"":""Fastest Labs Pittsburgh""}","{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}","{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}",0.77,0.77,"[""https://www.fastestlabs.com/pittsburgh/""]","[""https://www.fastestlabs.com/pittsburgh/""]",,,,,"[""4124670907""]","[""4124670907""]","{""names"":{}}","{""names"":{}}","[{""freeform"":""100 Fleet St Ste 103"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]","[{""freeform"":""100 Fleet St"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]"
19,1407374886399280,08f26ea82388e7990365b4a4be4226e2,"[{""dataset"":""Microsoft"",""record_id"":""1407374886399280"",""update_time"":""2024-12-20T08:22:49.96"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""msft"",""record_id"":""1407374889853397"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374889817582"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374889596581"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886399280"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Jill R. Johnson, APRN, CNP""}","{""primary"":""Jill R. Johnson, APRN, CNP""}","{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}","{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}",0.77,0.77,"[""https://healthcare.ascension.org/find-care/provider/1356415574/jill-johnson""]","[""""]",,,,,"[""9182271000""]","[""9182271000""]","{""names"":{}}",,"[{""freeform"":""1021 E Bryan Ave"",""locality"":""Sapulpa"",""region"":""OK"",""country"":""US"",""postcode"":""74066""}]","[{""freeform"":""1021 E Bryan Ave"",""locality"":""Sapulpa"",""postcode"":""74066"",""region"":""OK"",""country"":""US""}]"
20,562949962669156,562949962147432,"[{""dataset"":""Microsoft"",""record_id"":""562949962669156"",""update_time"":""2022-01-26T14:57:45.9"",""confidence"":0.77}]","[{""dataset"":""Microsoft"",""record_id"":""562949962147432"",""update_time"":""2024-12-28T20:00:57.247"",""confidence"":0.77}]","{""primary"":""Audio Network""}","{""primary"":""Audio Network""}","{""primary"":""music_production_services""}","{""primary"":""music_production_services""}",0.77,0.77,"[""https://www.audionetwork.com/""]","[""https://www.audionetwork.com/""]",,,,,"[""02075661441""]","[""02075661441""]","{""names"":{}}","{""names"":{}}","[{""freeform"":""Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""EC1N 8JS""}]","[{""freeform"":""Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""EC1N 8JS""}]"
